district,adm_okrug,area,pop_density,Latitude,Longitude,dist_price,Cluster_Labels
Царицыно,ЮАО,843,15340.21,55.62659420000001,37.6670226,125874.0,0
Черёмушки,ЮЗАО,552,20099.28,55.6635403,37.5610662,213025.0,0
Чертаново Северное,ЮАО,540,21232.04,55.6330775,37.6052365,180547.0,0
Чертаново Центральное,ЮАО,652,17992.02,55.6151581,37.6032734,160577.0,0
Чертаново Южное,ЮАО,938,16193.92,55.58983520000001,37.5957481,134332.0,0
Щукино,СЗАО,769,14521.85,55.8005723,37.47305520000001,233545.0,0
Южное Бутово,ЮЗАО,2554,8253.05,55.5412721,37.5325392,153873.0,1
Южное Медведково,СВАО,388,22130.67,55.8748262,37.6338939,155965.0,0
Южное Тушино,СЗАО,794,13817.13,55.8438581,37.43154060000001,162854.0,0
Южнопортовый,ЮВАО,453,16521.19,55.71960350000001,37.67361870000001,190357.0,0
Якиманка,ЦАО,480,5814.79,55.7383741,37.6169128,404471.0,2
Ярославский,СВАО,799,12299.37,55.86143199999999,37.6935724,159241.0,1
Ясенево,ЮЗАО,2537,7026.57,55.6062621,37.53374760000001,166852.0,1
